,source,target,weight
0,Kyle,Stan,8
1,Cartman,Stan,8
2,Stan,Wendy,1
3,Stan,Timmy,3
4,Cartman,Kyle,10
5,Kyle,Wendy,1
6,Kyle,Timmy,3
7,Cartman,Wendy,1
8,Cartman,Timmy,3
9,Timmy,Wendy,1
10,Kenny,Stan,3
11,Kenny,Kyle,3
12,Cartman,Kenny,3
13,Kenny,Timmy,1
14,Kyle,Liane,1
15,Carol,Kyle,1
16,Kyle,Sharon,2
17,Kyle,Sheila,1
18,Cartman,Liane,1
19,Carol,Cartman,1
20,Cartman,Sharon,2
21,Cartman,Sheila,1
22,Carol,Liane,1
23,Liane,Sharon,1
24,Liane,Sheila,1
25,Carol,Sharon,1
26,Carol,Sheila,1
27,Sharon,Sheila,1
28,Randy,Stan,2
29,Sharon,Stan,1
30,Gerald,Stan,2
31,Kyle,Randy,2
32,Gerald,Kyle,2
33,Cartman,Randy,2
34,Cartman,Gerald,2
35,Randy,Sharon,1
36,Gerald,Randy,2
37,Gerald,Sharon,1
