,source,target,weight
0,Kenny,Kyle,3
1,Ms. Crabtree,Stan,4
2,Kyle,Liane,1
3,Kyle,Stan,27
4,Liane,Stan,1
5,Cartman,Polly,8
6,Cartman,Clyde,9
7,Clyde,Polly,4
8,Clyde,Stan,5
9,Clyde,Kenny,2
10,Clyde,Kyle,5
11,Clyde,Peter,4
12,Cartman,Stan,27
13,Cartman,Kenny,3
14,Cartman,Kyle,17
15,Cartman,Peter,7
16,Polly,Stan,4
17,Kenny,Polly,2
18,Kyle,Polly,4
19,Peter,Polly,5
20,Kenny,Stan,2
21,Peter,Stan,4
22,Kenny,Peter,2
23,Kyle,Peter,4
24,Mr. Mackey,Stan,9
25,Kyle,Mr. Mackey,8
26,Kyle,Rumpertumskin,1
27,Rumpertumskin,Stan,1
28,Cartman,Rumpertumskin,2
29,Clyde,Rumpertumskin,1
30,Cartman,Kitty,14
31,Cartman,Liane,37
32,Kitty,Liane,10
33,Phillip,Terrance,1
34,Annoncer,Stan,1
35,Bob Saget,Stan,5
36,Annoncer,Kyle,1
37,Bob Saget,Kyle,5
38,Annoncer,Bob Saget,1
39,Chief Running Water,Indian 1,2
40,Cartman,Chief Running Water,32
41,Cartman,Chef,15
42,Bob Saget,Cartman,2
43,Mr. Garrison,Mr. Hat,1
44,Cartman,Mr. Garrison,10
45,Jimbo,Mr. Garrison,10
46,Cartman,Jimbo,4
47,Halfy,Mr. Garrison,2
48,Cartman,Mephesto,12
49,Cartman,Falsetto Bob Saget,1
50,Falsetto Bob Saget,Stan,1
51,Bob Saget,Falsetto Bob Saget,2
52,Mephesto,Stan,1
