,source,target,weight
0,Jimbo,Ned,12
1,Mr. Garrison,Mr. Hat,1
2,Class,Mr. Garrison,3
3,Cartman,Mr. Garrison,3
4,Clyde,Mr. Garrison,6
5,Mr. Garrison,Stan,11
6,Kyle,Mr. Garrison,11
7,Cartman,Class,1
8,Class,Clyde,2
9,Class,Stan,1
10,Class,Kyle,1
11,Cartman,Clyde,2
12,Cartman,Stan,75
13,Cartman,Kyle,39
14,Clyde,Stan,2
15,Clyde,Kyle,2
16,Kyle,Stan,44
17,Cameraman,Ned,3
18,Cameraman,Jimbo,8
19,Jimbo,Stan,23
20,Cartman,Jimbo,6
21,Jimbo,Kyle,10
22,Cameraman,Stan,2
23,Cameraman,Cartman,2
24,Jesus,Producer,22
25,Cameraman,Jesus,2
26,Cameraman,Producer,2
27,Bob,Jesus,2
28,Kyle,The Boys,1
29,Boys,Mr. Garrison,4
30,Boys,Stan,2
31,Boys,Kyle,2
32,Cartman,Mr. Mackey,20
33,Mr. Mackey,Stan,16
34,Kenny,Mr. Mackey,4
35,Kyle,Mr. Mackey,16
36,Cartman,Kenny,5
37,Kenny,Stan,5
38,Kenny,Kyle,5
39,Jesus,Michelle,4
40,Jesus,Michael Jackson fan,2
41,Jimbo,Tom,9
42,Ned,Tom,3
43,Cameraman,Tom,3
44,Jimbo,Producer,13
45,Ned,Producer,1
46,Producer,Stan,4
47,Kyle,Producer,2
48,Jesus' producer,Kyle,2
49,Jesus' producer,Jimbo,2
50,Jesus,Stan,16
51,Jesus,Jimbo,13
52,Cartman,Man in Brown Shirt,1
53,Jesus,Kyle,2
54,Cartman,Jesus,2
55,Producer,Satan,2
56,Saddam Hussein,Satan,2
57,Producer,Saddam Hussein,1
