,source,target,weight
0,Skunky,Stan,29
1,Beavery,Skunky,12
2,Mousey,Skunky,9
3,Deery,Skunky,6
4,Critters,Skunky,24
5,Beary,Skunky,8
6,Rabbity,Skunky,3
7,Skunky,Squirrely,15
8,Narrator,Skunky,2
9,Beavery,Stan,48
10,Mousey,Stan,31
11,Deery,Stan,26
12,Critters,Stan,81
13,Beary,Stan,36
14,Rabbity,Stan,18
15,Squirrely,Stan,51
16,Narrator,Stan,67
17,Beavery,Mousey,13
18,Beavery,Deery,15
19,Beavery,Critters,49
20,Beary,Beavery,20
21,Beavery,Rabbity,9
22,Beavery,Squirrely,23
23,Beavery,Narrator,6
24,Deery,Mousey,8
25,Critters,Mousey,25
26,Beary,Mousey,11
27,Mousey,Rabbity,6
28,Mousey,Squirrely,19
29,Mousey,Narrator,4
30,Critters,Deery,25
31,Beary,Deery,14
32,Deery,Rabbity,6
33,Deery,Squirrely,14
34,Deery,Narrator,2
35,Beary,Critters,33
36,Critters,Rabbity,15
37,Critters,Squirrely,42
38,Critters,Narrator,10
39,Beary,Rabbity,7
40,Beary,Squirrely,18
41,Beary,Narrator,4
42,Rabbity,Squirrely,7
43,Narrator,Rabbity,2
44,Narrator,Squirrely,2
45,Foxy,Stan,17
46,Porcupiney,Stan,18
47,Stan,Woodpeckery,11
48,Chickadee-y,Stan,26
49,Foxy,Squirrely,10
50,Porcupiney,Squirrely,16
51,Squirrely,Woodpeckery,9
52,Chickadee-y,Squirrely,15
53,Foxy,Skunky,3
54,Porcupiney,Skunky,5
55,Skunky,Woodpeckery,4
56,Chickadee-y,Skunky,5
57,Foxy,Mousey,6
58,Mousey,Porcupiney,9
59,Mousey,Woodpeckery,5
60,Chickadee-y,Mousey,7
61,Deery,Foxy,5
62,Deery,Porcupiney,3
63,Deery,Woodpeckery,3
64,Chickadee-y,Deery,11
65,Foxy,Porcupiney,6
66,Foxy,Woodpeckery,2
67,Chickadee-y,Foxy,5
68,Critters,Foxy,12
69,Beary,Foxy,5
70,Foxy,Rabbity,5
71,Porcupiney,Woodpeckery,4
72,Chickadee-y,Porcupiney,3
73,Critters,Porcupiney,12
74,Beary,Porcupiney,3
75,Porcupiney,Rabbity,3
76,Chickadee-y,Woodpeckery,4
77,Critters,Woodpeckery,7
78,Beary,Woodpeckery,4
79,Rabbity,Woodpeckery,1
80,Chickadee-y,Critters,19
81,Beary,Chickadee-y,14
82,Chickadee-y,Rabbity,5
83,Mousey,Raccoony,4
84,Porcupiney,Raccoony,6
85,Raccoony,Woodpeckery,2
86,Raccoony,Squirrely,11
87,Raccoony,Stan,16
88,Critters,Raccoony,14
89,Raccoony,Skunky,7
90,Foxy,Raccoony,2
91,Beavery,Raccoony,8
92,Beavery,Porcupiney,6
93,Beavery,Woodpeckery,3
94,Beavery,Foxy,7
95,Lion cub 1,Lion cub 2,13
96,Lion cub 1,Stan,42
97,Lion cub 2,Stan,32
98,Beavery,Chickadee-y,12
99,Lion cub 1,Lion cub 3,24
100,Lion cub 2,Lion cub 3,18
101,Lion cub 3,Stan,60
102,Lion cub 3,Narrator,30
103,Doctor,Lion cub 3,12
104,Lion cub 1,Narrator,20
105,Doctor,Lion cub 1,8
106,Lion cub 2,Narrator,15
107,Doctor,Lion cub 2,6
108,Doctor,Stan,20
109,Doctor,Narrator,10
110,Kyle,Skunky,7
111,Critters,Kyle,23
112,Beavery,Kyle,12
113,Kyle,Raccoony,7
114,Beary,Kyle,9
115,Deery,Kyle,5
116,Kyle,Squirrely,6
117,Beary,Raccoony,1
118,Deery,Raccoony,1
119,Santa,Squirrely,3
120,Singers,Squirrely,1
121,Kyle,Stan,25
122,Santa,Stan,32
123,Singers,Stan,5
124,Beavery,Santa,6
125,Beavery,Singers,2
126,Kyle,Santa,14
127,Kyle,Singers,1
128,Santa,Skunky,6
129,Singers,Skunky,2
130,Critters,Santa,9
131,Critters,Singers,3
132,Raccoony,Santa,6
133,Raccoony,Singers,2
134,Santa,Singers,3
135,Beary,Lion Cub,1
136,Beary,Santa,2
137,Lion Cub,Santa,2
138,Kyle,Lion Cub,4
139,Lion Cub,Stan,2
140,Cartman,Kyle,24
141,Cartman,Mr. Garrison,6
142,Butters,Cartman,12
143,Cartman,Tolkien,6
144,Cartman,Clyde,12
145,Cartman,Stan,12
146,Kyle,Mr. Garrison,4
147,Butters,Kyle,8
148,Kyle,Tolkien,4
149,Clyde,Kyle,8
150,Butters,Mr. Garrison,2
151,Mr. Garrison,Tolkien,1
152,Clyde,Mr. Garrison,2
153,Mr. Garrison,Stan,2
154,Butters,Tolkien,2
155,Butters,Clyde,4
156,Butters,Stan,4
157,Clyde,Tolkien,2
158,Stan,Tolkien,2
159,Clyde,Stan,4
160,Kyle,Narrator,1
161,Narrator,Santa,3
162,One of the cubs,The cubs,1
163,One of the cubs,Stan,1
164,Stan,The cubs,1
