,source,target,weight
0,Cartman,Lawrence,83
1,Cartman,Kyle,503
2,Cartman,Toby,31
3,Kyle,Lawrence,21
4,Lawrence,Toby,16
5,Kyle,Toby,13
6,Butters,Lawrence,2
7,Butters,Cartman,187
8,Butters,Toby,2
9,Butters,Kyle,42
10,Clyde,Kyle,21
11,Kyle,Stan,360
12,Alec Baldwin,Kyle,4
13,Cartman,Clyde,65
14,Cartman,Stan,251
15,Alec Baldwin,Cartman,28
16,Clyde,Stan,27
17,Alec Baldwin,Clyde,4
18,Alec Baldwin,Stan,2
19,Butters,Clerk,4
20,Cartman,Receptionist,10
21,Cartman,Chief,11
22,Cartman,Patricia,5
23,Alec Baldwin,Receptionist,4
24,Chief,Receptionist,4
25,Patricia,Receptionist,2
26,Alec Baldwin,Chief,4
27,Alec Baldwin,Patricia,2
28,Chief,Patricia,2
29,Butters,Pamphleteer,56
30,Butters,Colleague,12
31,Colleague,Pamphleteer,14
32,Cartman,Detective,3
33,Cartman,Joe,6
34,Cartman,Miller,2
35,Cartman,Larson,2
36,Chief,Detective,3
37,Chief,Joe,6
38,Chief,Miller,2
39,Chief,Larson,2
40,Detective,Joe,18
41,Detective,Miller,6
42,Detective,Larson,6
43,Joe,Miller,12
44,Joe,Larson,12
45,Larson,Miller,4
46,Hippie,Joe,12
47,Alec Baldwin,Hippie,4
48,Alec Baldwin,Joe,3
49,Butters,Craig,58
50,Craig,Pamphleteer,12
51,Alec Baldwin,Date,1
52,Cartman,Date,4
53,Date,Jarvis,1
54,Alec Baldwin,Jarvis,1
55,Cartman,Jarvis,4
56,Barbrady,Group,9
57,Barbrady,Butters,6
58,Barbrady,Customer,3
59,Barbrady,Larry,6
60,Butters,Group,8
61,Customer,Group,3
62,Group,Larry,7
63,Butters,Customer,2
64,Butters,Larry,6
65,Customer,Larry,2
66,Cartman,Liane,30
67,Cartman,Group,2
68,Cartman,Paul,2
69,Cartman,Larry,2
70,Butters,Paul,2
71,Group,Paul,1
72,Larry,Paul,1
73,Cartman,Wendy,48
74,Cartman,Mr. Garrison,7
75,Cartman,Peter,10
76,Mr. Garrison,Wendy,5
77,Peter,Wendy,10
78,Butters,Wendy,127
79,Mr. Garrison,Peter,2
80,Butters,Mr. Garrison,1
81,Butters,Peter,2
82,Randy,Stan,13
83,Sharon,Stan,9
84,Randy,Sharon,40
85,Mr. Hagen,Stan,1
86,Clyde,Red,1
87,Butters,Red,1
88,Red,Wendy,25
89,Cartman,Red,1
90,Kyle,Red,1
91,Butters,Clyde,24
92,Clyde,Wendy,32
93,Kyle,Wendy,2
94,Mrs. Tweak,Randy,16
95,Mrs. Tweak,Stuart,2
96,Cable Guy,Mrs. Tweak,10
97,Mrs. Tweak,Stephen,6
98,Randy,Stuart,8
99,Cable Guy,Randy,40
100,Randy,Stephen,26
101,Cable Guy,Stuart,5
102,Stephen,Stuart,3
103,Cable Guy,Stephen,15
104,Corey,Randy,51
105,Gerald,Randy,14
106,Corey,Gerald,10
107,Kyle,Tweek,10
108,Craig,Kyle,94
109,Craig,Tweek,8
110,Stan,Tweek,8
111,Cartman,Tweek,13
112,Craig,Stan,68
113,Cartman,Craig,99
114,Butters,Mr. Mackey,16
115,Butters,Stan,19
116,Kyle,Mr. Mackey,124
117,Mr. Mackey,Stan,13
118,Cartman,Stephen,8
119,Cartman,Randy,6
120,Clyde,Craig,13
121,Craig,Wendy,7
122,Craig,Stephen,2
123,Craig,Randy,1
124,Clyde,Stephen,2
125,Clyde,Randy,1
126,Kyle,Stephen,2
127,Kyle,Randy,1
128,Stan,Wendy,34
129,Stephen,Wendy,2
130,Randy,Wendy,1
131,Stan,Stephen,2
132,Butters,Stephen,2
133,Butters,Randy,1
134,Corey,Kyle,22
135,Corey,Stan,22
136,Cartman,Corey,13
137,Kenny,Stan,33
138,Corey,Kenny,5
139,Cartman,Kenny,50
140,Kenny,Kyle,24
141,Cable Guy,Kyle,24
142,David,Kyle,36
143,Kyle,Mitch,4
144,Cable Guy,Stan,48
145,Cable Guy,David,54
146,Cable Guy,Mitch,6
147,David,Stan,72
148,Mitch,Stan,8
149,David,Mitch,9
150,Cartman,Tolkien,75
151,Jimmy,Tolkien,7
152,Stan,Tolkien,10
153,Kyle,Tolkien,3
154,Cartman,Jimmy,52
155,Jimmy,Stan,55
156,Jimmy,Kyle,35
157,Cartman,Mr. Mackey,91
158,Karin,Rachel,10
159,Gerry,Rachel,14
160,Gerry,Karin,14
161,Constance,Gerry,6
162,Constance,Rachel,1
163,Rachel,Reporter,2
164,Protester,Rachel,1
165,Rachel,Tolkien,1
166,Constance,Karin,1
167,Constance,Reporter,2
168,Constance,Protester,1
169,Constance,Tolkien,1
170,Karin,Reporter,2
171,Karin,Protester,1
172,Karin,Tolkien,1
173,Gerry,Reporter,10
174,Gerry,Protester,5
175,Gerry,Tolkien,5
176,Protester,Reporter,2
177,Reporter,Tolkien,2
178,Protester,Tolkien,1
179,Mr. Mackey,Tolkien,21
180,Principal Victoria,The kids,2
181,Cartman,Principal Victoria,4
182,Principal Victoria,Tolkien,2
183,Cartman,The kids,8
184,The kids,Tolkien,4
185,Cartman,Nelly's mom,74
186,Cartman,Pilot,48
187,Captain,Pilot,6
188,Captain,Co-pilot,15
189,Captain,Cartman,15
190,Captain,Nelly's mom,6
191,Captain,Occupant,6
192,Co-pilot,Pilot,10
193,Nelly's mom,Pilot,24
194,Occupant,Pilot,4
195,Cartman,Co-pilot,25
196,Co-pilot,Nelly's mom,10
197,Co-pilot,Occupant,10
198,Cartman,Occupant,10
199,Nelly's mom,Occupant,4
200,Butters,Girls,1
201,Cartman,Jimbo,56
202,Jimbo,Nelly's mom,21
203,Cartman,Flight Attendant,1
204,Mrs. Zimmerman,Older daughter,12
205,George Zimmerman,Older daughter,44
206,Older daughter,Reporter,4
207,Older daughter,Younger daughter,4
208,George Zimmerman,Mrs. Zimmerman,33
209,Mrs. Zimmerman,Reporter,3
210,Mrs. Zimmerman,Younger daughter,3
211,George Zimmerman,Reporter,11
212,George Zimmerman,Younger daughter,11
213,Reporter,Younger daughter,1
214,Henrietta,Michael,69
215,Michael,Mrs. Biggle,3
216,Henrietta,Mrs. Biggle,48
217,Michael,Pete,99
218,Firkle,Michael,24
219,Firkle,Pete,64
220,Michael,Worker,40
221,Pete,Worker,30
222,Firkle,Worker,5
223,Firkle,Henrietta,2
224,Henrietta,Pete,10
225,Dad,Michael,8
226,Michael,Mom,4
227,Dad,Mom,2
228,Firkle,Waitress,8
229,Pete,Waitress,17
230,Mike,Pete,64
231,Firkle,Mike,14
232,Henrietta,Mike,6
233,Mike,Mrs. Biggle,6
234,Mrs. Biggle,Pete,4
235,Howard,Michael,60
236,Michael,Mike,8
237,Howard,Mike,18
238,Howard,Pete,78
239,Firkle,Howard,24
240,Howard,Waitress,9
241,Mike,Waitress,1
242,Michael,Waitress,2
243,Voice,Waitress,3
244,Host,Waitress,5
245,Sarah,Waitress,1
246,Pete,Voice,21
247,Host,Pete,35
248,Pete,Sarah,7
249,Howard,Voice,27
250,Host,Howard,45
251,Howard,Sarah,9
252,Mike,Voice,3
253,Host,Mike,5
254,Mike,Sarah,1
255,Michael,Voice,6
256,Host,Michael,10
257,Michael,Sarah,2
258,Host,Voice,15
259,Sarah,Voice,3
260,Firkle,Voice,6
261,Host,Sarah,5
262,Firkle,Host,10
263,Firkle,Sarah,2
264,Kyle,Sheila,8
265,Ike,Kyle,96
266,Ike,Minister,1
267,Kyle,Minister,1
268,Minister,Wife,4
269,Kyle,Therapist,1
270,Ike,Therapist,1
271,Mr. Garrison,Stan,1
272,Cody,Stan,5
273,Kyle,Mr. Garrison,4
274,Cody,Kyle,20
275,Cartman,Cody,10
276,Mr. Garrison,Mr. Mackey,6
277,Cody,Mr. Mackey,46
278,Cody,Mr. Garrison,5
279,Muno,Plex,17
280,Muno,Ryan,2
281,Ike,Muno,9
282,Kyle,Muno,11
283,Plex,Ryan,14
284,Ike,Plex,59
285,Kyle,Plex,69
286,Ike,Ryan,6
287,Kyle,Ryan,2
288,Plex,Toodee,13
289,Brobee,Toodee,5
290,Kyle,Toodee,12
291,Muno,Toodee,3
292,Ike,Toodee,7
293,Foofa,Toodee,7
294,Brobee,Plex,13
295,Foofa,Plex,16
296,Brobee,Kyle,16
297,Brobee,Muno,3
298,Brobee,Ike,10
299,Brobee,Foofa,10
300,Foofa,Kyle,26
301,Foofa,Muno,4
302,Foofa,Ike,17
303,Minister,Rick,10
304,Rick,Terry,17
305,Minister,Terry,4
306,Mr. Adler,Mr. Mackey,7
307,Mr. Mackey,Pat,14
308,Mr. Mackey,Principal Victoria,16
